"filename", "language", "JSON", "Markdown", "JavaScript", "Batch", "HTML", "Vue", "XML", "YAML", "SCSS", "comment", "blank", "total"
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/edit.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/education.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/email.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/example.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/excel.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/exit-fullscreen.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/eye-open.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/eye.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/form.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/fullscreen.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/github.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/guide.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/icon.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/input.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/international.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/job.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/language.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/link.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/list.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/lock.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/log.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/logininfor.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/message.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/money.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/monitor.svg", "XML", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/nested.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/winter/data/workspace_idea/RuoYi-Vue/ruoyi-ui/src/assets/icons/svg/number.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
